run,score
0,-245.83554619066015
1,-124.73645152294145
2,-126.24725164247793
3,-359.39634412200184
4,-242.63882136751002
5,-499.8814624430514
6,-247.01078637750297
7,-127.14754224124825
8,-126.5227414298907
9,-126.8040209755954
10,-376.70856994658664
11,-490.1769334243618
12,-122.11190795356956
13,-1.1061363770320245
14,-646.5236617388816
15,-130.242930285085
16,-1.6574165690855998
17,-251.83767520263933
18,-241.47822920466797
19,-375.0087327341762
20,-122.64995354130185
21,-124.13383809590911
22,-534.9538126573677
23,-124.13720721118277
24,-237.54990725521742
25,-237.30908065648075
26,-126.21658622912656
27,-126.78574406565784
28,-254.8175507947982
29,-126.46039465030833
30,-244.89548713211164
31,-242.13401921693503
32,-492.9168896066181
33,-469.26410961949733
34,-485.34913783226597
35,-126.58058864541132
36,-360.09950427664063
37,-362.6758215975125
38,-124.78142234199254
39,-125.19441664692081
40,-126.7519460759732
41,-752.5950292947015
42,-128.8453482714705
43,-254.83516826009654
44,-127.32738707660573
45,-239.99830443505886
46,-581.9702409528552
47,-125.4620948442991
48,-627.5575614375109
49,-240.7074225623972
50,-364.4450654818909
51,-126.58934065118659
52,-2.5291421527427937
53,-627.7800044132598
54,-363.61506327528457
55,-480.5613771652419
56,-668.1104303631985
57,-366.4371428623817
58,-498.449124654987
59,-479.893939219493
60,-491.36087705647986
61,-123.02635546710667
62,-241.65375890658777
63,-127.18655053093187
64,-123.35677332416532
65,-503.1244748402576
66,-251.6939984565711
67,-236.09984786901825
68,-2.330771898265316
69,-611.6830815023177
70,-510.1347609071176
71,-360.4253657373409
72,-243.81678885436054
73,-126.08160853662352
74,-121.00647438650245
75,-126.69169907833927
76,-127.47180658729836
77,-455.7430368705556
78,-561.317765428008
79,-483.0069388430627
80,-484.1884906410416
81,-244.8465977451173
82,-379.49941222318427
83,-122.41359067394824
84,-494.16856144074063
85,-660.5901977073448
86,-124.06813258935334
87,-788.0561054153652
88,-122.80491809029681
89,-248.76338347511052
90,-377.94583922161206
91,-673.3426673289574
92,-125.39762266887493
93,-355.09463836659677
94,-1.3562060837754517
95,-125.64129126698451
96,-123.86997866947969
97,-236.73890258044418
98,-608.7639175307013
99,-253.47789589803358
